<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100412,000000,7998.3600000,8009.3800000,7813.1700000,7815.3800000,21982
20100413,000000,7815.3800000,7971.9100000,7815.3800000,7956.4700000,19972
20100414,000000,7955.3700000,7992.8500000,7914.5900000,7970.8000000,13439
20100415,000000,7970.8000000,7971.9100000,7857.2700000,7915.6900000,16950
20100416,000000,7916.7900000,7958.6800000,7697.4300000,7766.8800000,18172
20100418,000000,7755.8500000,7755.8500000,7652.2400000,7680.9000000,2931
20100419,000000,7683.1000000,7779.0000000,7610.3500000,7754.7500000,20082
20100420,000000,7754.7500000,7831.9100000,7711.7600000,7751.4400000,19756
20100421,000000,7752.5500000,7802.1500000,7651.1300000,7749.2400000,21448
20100422,000000,7747.0300000,7786.7200000,7633.5000000,7710.6600000,21929
20100423,000000,7705.1500000,7777.9000000,7629.0900000,7764.6700000,17535
20100425,000000,7758.0600000,7852.8600000,7749.2400000,7821.9900000,1366
20100426,000000,7821.9900000,7836.3200000,7697.4300000,7727.1900000,11422
20100427,000000,7726.0900000,7727.1900000,7383.2700000,7465.9500000,20880
20100428,000000,7465.9500000,7524.3700000,7372.2500000,7483.5800000,13906
20100429,000000,7483.5800000,7491.3000000,7350.2000000,7427.3600000,18304
20100430,000000,7427.3600000,7471.4600000,7353.5100000,7418.5500000,15954
20100502,000000,7398.7521770,7415.2869330,7216.8698600,7266.4741290,0
20100503,000000,7322.6500000,7366.7400000,7216.8200000,7310.5200000,17200
20100504,000000,7311.6200000,7316.0300000,6975.4200000,7015.1000000,25526
20100505,000000,7015.1000000,7074.6300000,6632.6000000,7006.2800000,35780
20100506,000000,7005.1800000,7030.5300000,6724.0900000,6815.5800000,33187
20100507,000000,6814.4800000,7007.3800000,6750.5500000,6948.9600000,15593
20100509,000000,7033.8400000,7090.0600000,6980.9300000,7086.7500000,4248
20100510,000000,7086.7500000,7203.6000000,7038.2500000,7040.4500000,17883
20100511,000000,7040.4500000,7080.1400000,6897.1500000,6934.6300000,19243
20100512,000000,6931.3300000,7151.7900000,6911.4800000,7038.2500000,14701
20100513,000000,7037.1500000,7184.8600000,7004.0800000,7095.5700000,15753
20100514,000000,7094.4700000,7108.8000000,6871.8000000,6891.6400000,10525
20100516,000000,6865.1900000,6885.0300000,6728.5000000,6730.7000000,3261
20100517,000000,6735.1100000,6801.2500000,6424.2600000,6553.2300000,22946
20100518,000000,6553.2300000,6765.9787800,6536.7000000,6676.6916700,28902
20100519,000000,6525.6752000,6629.2923400,6477.1735600,6524.5728900,22483
